symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
RIFUSDT,0.00370000,2.790,0.13376045,0.13260000,0.13630000,378.00000000,0.13640000,31236.00000000,0.13660000,14039.00000000,0.13260000,0.13840000,0.13000000,36608723.00000000,4896799.34720000,1732940495270,1733026895270,25339196,25394025,54830
BTCSTUSDT,0.00000000,0.000,0.00000000,5.35000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
TRUUSDT,0.00110000,0.887,0.12603467,0.12390000,0.12510000,1079.00000000,0.12510000,48805.00000000,0.12520000,4998.00000000,0.12400000,0.13090000,0.11960000,136613272.00000000,17218008.52550000,1732940496276,1733026896276,59745072,59828843,83772
CKBUSDT,0.00028600,1.814,0.01625293,0.01577300,0.01605600,346.00000000,0.01605800,1979.00000000,0.01606400,15277.00000000,0.01577000,0.01800000,0.01542900,1599040444.00000000,25989095.01726700,1732940496744,1733026896744,79368740,79497909,129170
TWTUSDT,-0.00690000,-0.585,1.20590839,1.17890000,1.17170000,44.00000000,1.17160000,44.00000000,1.17190000,21.00000000,1.17860000,1.24890000,1.15830000,7944973.00000000,9580909.58660000,1732940496184,1733026896184,59961857,60045436,83580
FIROUSDT,0.01600000,1.034,1.57380045,1.55000000,1.56400000,21.50000000,1.56200000,9.50000000,1.56300000,21.60000000,1.54800000,1.60900000,1.53200000,491145.00000000,772964.22070000,1732940463075,1733026863075,21135243,21152505,17263
LITUSDT,-0.00300000,-0.308,0.99419311,0.97300000,0.97100000,474.00000000,0.97100000,359.80000000,0.97200000,4988.70000000,0.97400000,1.02800000,0.96300000,3482595.40000000,3462372.34820000,1732940487696,1733026887696,67114255,67137317,23063
SFPUSDT,-0.00290000,-0.387,0.76197196,0.74920000,0.74630000,1.00000000,0.74620000,83.00000000,0.74630000,25.00000000,0.74920000,0.79190000,0.73340000,6336607.00000000,4828316.85740000,1732940494709,1733026894709,57294898,57371362,76465
DODOUSDT,0.00390000,2.467,0.16384922,0.15820000,0.16200000,92.80000000,0.16200000,2613.50000000,0.16210000,7974.70000000,0.15810000,0.16850000,0.15710000,34406926.70000000,5637548.14905000,1732940496356,1733026896356,50362512,50394096,31585
CAKEUSDT,-0.05600000,-1.835,3.04593471,3.05300000,2.99600000,16.51000000,2.99600000,1152.86000000,2.99700000,10.83000000,3.05200000,3.12800000,2.94800000,9541236.82000000,29061984.36694000,1732940495867,1733026895867,113312328,113430274,117947
ACMUSDT,0.00900000,0.511,1.78368320,1.76100000,1.77000000,20.00000000,1.76900000,700.60000000,1.77100000,84.50000000,1.76100000,1.81500000,1.75100000,331966.50000000,592123.06850000,1732940486924,1733026886924,20130123,20143910,13788
BADGERUSDT,0.03300000,0.861,3.90531353,3.83100000,3.86600000,5.38000000,3.86600000,94.50000000,3.86700000,94.50000000,3.83300000,4.00100000,3.79700000,1021701.88000000,3990066.18058000,1732940495707,1733026895707,29123112,29151439,28328
FISUSDT,-0.00990000,-2.440,0.41113263,0.40570000,0.39580000,53.00000000,0.39560000,41.00000000,0.39580000,29.00000000,0.40570000,0.42390000,0.39480000,8332985.00000000,3425962.06560000,1732940496228,1733026896228,41743543,41939872,196330
OMUSDT,0.07400000,2.148,3.61912220,3.44530000,3.51930000,63.00000000,3.51910000,23.00000000,3.51960000,44.00000000,3.44530000,3.87210000,3.41030000,13060008.00000000,47265764.82200000,1732940496820,1733026896820,77796564,78036681,240118
PONDUSDT,-0.00045000,-2.270,0.01987759,0.01982000,0.01937000,776.00000000,0.01936000,36369.00000000,0.01938000,9404.00000000,0.01982000,0.02041000,0.01926000,178722507.00000000,3552573.50651000,1732940494144,1733026894144,38689202,38717174,27973
DEGOUSDT,-0.39300000,-11.895,3.17457425,3.31100000,2.91100000,11.93000000,2.91000000,95.68000000,2.91100000,595.84000000,3.30400000,3.44800000,2.82200000,7339483.44000000,23299735.10497000,1732940493791,1733026893791,34833077,34993451,160375
ALICEUSDT,0.01000000,0.646,1.57640112,1.54700000,1.55700000,29.80000000,1.55700000,10367.94000000,1.55900000,3190.14000000,1.54700000,1.63700000,1.52300000,3168708.83000000,4995156.15723000,1732940496176,1733026896176,97548862,97576901,28040
LINAUSDT,0.00015400,2.545,0.00632918,0.00605200,0.00620600,33285.00000000,0.00621100,7923.00000000,0.00621300,45325.00000000,0.00605200,0.00655300,0.00603800,895573150.00000000,5668244.32598700,1732940495926,1733026895926,74898526,74954042,55517
PERPUSDT,0.01880000,1.965,0.97020496,0.95720000,0.97560000,7.70000000,0.97520000,312.34000000,0.97570000,443.50000000,0.95680000,0.99300000,0.94590000,3474633.78000000,3371106.94225700,1732940496122,1733026896122,49514365,49563371,49007
RAMPUSDT,0.00000000,0.000,0.00000000,0.05240000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
SUPERUSDT,0.03250000,2.377,1.41715794,1.36700000,1.39960000,375.00000000,1.40010000,245.00000000,1.40070000,10.00000000,1.36710000,1.45700000,1.35660000,6508276.00000000,9223255.01520000,1732940495861,1733026895861,55032722,55101578,68857
CFXUSDT,0.00540000,2.695,0.20683508,0.20030000,0.20580000,592.00000000,0.20560000,18467.00000000,0.20570000,426.00000000,0.20040000,0.21840000,0.19470000,131533782.00000000,27205800.82900000,1732940496500,1733026896500,82624957,82752202,127246
EPSUSDT,0.00000000,0.000,0.00000000,0.16790000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
AUTOUSDT,0.00000000,0.000,0.00000000,95.30000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
TKOUSDT,-0.01280000,-3.265,0.39127029,0.39190000,0.37920000,448.30000000,0.37910000,6546.30000000,0.37920000,715.20000000,0.39200000,0.40090000,0.37470000,8249645.40000000,3227841.14256000,1732940492749,1733026892749,37044660,37079142,34483
PUNDIXUSDT,-0.00990000,-1.629,0.60643928,0.60720000,0.59770000,18.10000000,0.59760000,106.90000000,0.59800000,12.60000000,0.60760000,0.61740000,0.58000000,2049280.60000000,1242764.25065000,1732940488602,1733026888602,22169611,22195870,26260
TLMUSDT,0.00013000,0.885,0.01502707,0.01468000,0.01482000,13397.00000000,0.01482000,252480.00000000,0.01483000,26455.00000000,0.01469000,0.01550000,0.01460000,569598949.00000000,8559401.57493000,1732940496713,1733026896713,92522064,92589333,67270
1INCHUPUSDT,0.00000000,0.000,0.00000000,0.06570300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
1INCHDOWNUSDT,0.00000000,0.000,0.00000000,0.00614800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
BTGUSDT,0.00000000,0.000,0.00000000,17.65000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
MIRUSDT,0.00000000,0.000,0.00000000,0.14168000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
BARUSDT,-0.01400000,-0.620,2.26641929,2.25700000,2.24400000,16.41000000,2.24300000,19.63000000,2.24400000,116.18000000,2.25800000,2.32200000,2.19600000,898469.96000000,2036309.64618000,1732940495304,1733026895304,18580724,18608601,27878
FORTHUSDT,0.13300000,3.308,4.20219169,4.02100000,4.15300000,12.03000000,4.15300000,6.29000000,4.15500000,3.79000000,4.02000000,4.34700000,3.97700000,523075.51000000,2198063.56004000,1732940491253,1733026891253,24776219,24820084,43866
BAKEUSDT,0.01260000,3.793,0.34613899,0.33220000,0.34480000,32.10000000,0.34470000,477.70000000,0.34480000,616.90000000,0.33220000,0.36010000,0.33130000,30505996.30000000,10559314.67465000,1732940495363,1733026895363,93634309,93697334,63026
BURGERUSDT,-0.01700000,-3.248,0.52009180,0.52330000,0.50640000,268.10000000,0.50620000,14.90000000,0.50640000,460.40000000,0.52340000,0.53180000,0.49950000,6552756.70000000,3408035.05224000,1732940496494,1733026896494,49596432,49630882,34451
SLPUSDT,0.00005800,1.438,0.00412053,0.00403200,0.00409000,147449.00000000,0.00408900,131547.00000000,0.00409100,22453.00000000,0.00403200,0.00428700,0.00398900,2035226085.00000000,8386208.83276300,1732940496503,1733026896503,113574556,113629093,54538
SHIBUSDT,0.00000333,12.862,0.00002793,0.00002590,0.00002922,1398696104.00,0.00002922,141353492.00,0.00002923,1151050370.00,0.00002589,0.00003000,0.00002581,16499581164370.00,460850546.59984079,1732940496744,1733026896744,1027710016,1035899403,8189388
ICPUSDT,-0.01400000,-0.117,12.33369584,11.97900000,11.96300000,19.66000000,11.96500000,6.19000000,11.96600000,30.60000000,11.97700000,12.78900000,11.80400000,4376434.95000000,53977617.51756000,1732940496472,1733026896472,171042908,171252517,209610
ARUSDT,2.26000000,10.013,24.66085226,22.56000000,24.83000000,2.23000000,24.82000000,314.93000000,24.83000000,431.91000000,22.57000000,26.30000000,22.45000000,3899941.66000000,96175885.09710000,1732940496714,1733026896714,94943242,95143600,200359
POLSUSDT,0.00000000,0.000,0.00000000,0.30790000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
MDXUSDT,0.00000000,0.000,0.00000000,0.03450000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
MASKUSDT,-0.05100000,-1.343,3.72255698,3.79700000,3.74600000,31.80000000,3.74700000,678.80000000,3.74900000,1050.00000000,3.79700000,3.88700000,3.61500000,4643843.70000000,17286972.77880000,1732940496773,1733026896773,73280646,73343135,62490
LPTUSDT,-0.48200000,-3.023,15.81292889,15.94100000,15.46100000,10.20000000,15.45500000,1.01000000,15.45800000,27.59000000,15.94300000,16.62200000,15.22600000,1111588.12000000,17577463.89376000,1732940496643,1733026896643,50584534,50702644,118111
NUUSDT,0.00000000,0.000,0.00000000,0.54360000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
XVGUSDT,0.00007600,1.116,0.00707918,0.00680800,0.00688800,8388.00000000,0.00689600,17303.00000000,0.00689900,9810.00000000,0.00681200,0.00737000,0.00679500,959964416.00000000,6795757.47320200,1732940494119,1733026894119,36418053,36479473,61421
ATAUSDT,0.00270000,2.226,0.12675915,0.12120000,0.12400000,6813.00000000,0.12390000,24299.00000000,0.12410000,14963.00000000,0.12130000,0.13050000,0.12120000,24890950.00000000,3155155.75790000,1732940491003,1733026891003,59362528,59387993,25466
GTCUSDT,0.00100000,0.093,1.08361278,1.07500000,1.07500000,92.40000000,1.07500000,48.60000000,1.07600000,1780.10000000,1.07400000,1.11600000,1.05800000,3587757.30000000,3887739.65700000,1732940495344,1733026895344,38585828,38620040,34213
TORNUSDT,0.00000000,0.000,0.00000000,4.06000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
KEEPUSDT,0.00000000,0.000,0.00000000,0.62510000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
ERNUSDT,-0.07700000,-2.615,2.97805404,2.94300000,2.86800000,32.20000000,2.86700000,81.00000000,2.86800000,18.50000000,2.94500000,3.06400000,2.81200000,920306.00000000,2740721.00450000,1732940495532,1733026895532,23741080,23769195,28116
KLAYUSDT,0.00000000,0.000,0.00000000,0.12550000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
PHAUSDT,0.00090000,0.532,0.17144537,0.16890000,0.17000000,1620.00000000,0.16990000,3330.00000000,0.17000000,93.00000000,0.16910000,0.17920000,0.16700000,18829023.00000000,3228148.86370000,1732940494658,1733026894658,27153373,27178805,25433
BONDUSDT,0.00000000,0.000,0.00000000,2.15200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
MLNUSDT,-0.51000000,-2.743,18.77130736,18.60000000,18.08000000,3.03900000,18.08000000,1.00500000,18.09000000,3.04000000,18.59000000,19.78000000,17.80000000,124724.78400000,2341247.25618000,1732940496078,1733026896078,17301249,17332599,31351
DEXEUSDT,0.01600000,0.179,9.08145497,8.93000000,8.94600000,0.61000000,8.94600000,1.04000000,8.94800000,1.69000000,8.93000000,9.29600000,8.83800000,70489.64000000,640148.49186000,1732940479954,1733026879954,31811180,31845675,34496
C98USDT,0.00110000,0.516,0.21970785,0.21330000,0.21430000,29.00000000,0.21420000,17537.30000000,0.21430000,1771.70000000,0.21320000,0.22770000,0.21130000,72611267.80000000,15953265.55969000,1732940494449,1733026894449,62294164,62374000,79837
CLVUSDT,-0.00284000,-3.144,0.08927003,0.09032000,0.08748000,85.80000000,0.08745000,3556.00000000,0.08747000,2520.00000000,0.09032000,0.09156000,0.08622000,76848606.50000000,6860277.10166700,1732940495147,1733026895147,33651473,33707075,55603
QNTUSDT,2.80000000,2.941,99.00723579,95.20000000,98.00000000,18.89000000,98.00000000,19.98900000,98.10000000,90.64900000,95.20000000,101.40000000,95.10000000,106318.05900000,10526257.13590000,1732940494684,1733026894684,35725713,35769484,43772
FLOWUSDT,-0.01300000,-1.349,0.97583536,0.96400000,0.95100000,1673.57000000,0.95100000,2153.33000000,0.95200000,8184.05000000,0.96400000,1.00400000,0.94400000,7882715.29000000,7692232.34367000,1732940496428,1733026896428,35639932,35672711,32780
TVKUSDT,0.00000000,0.000,0.00000000,0.05405000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
MINAUSDT,0.00470000,0.563,0.85443049,0.83550000,0.84020000,121.00000000,0.84020000,297.00000000,0.84030000,987.00000000,0.83550000,0.87500000,0.82270000,28151653.40000000,24053631.00905000,1732940496356,1733026896356,68888662,69008972,120311
RAYUSDT,-0.22400000,-3.999,5.50879410,5.60200000,5.37800000,39.70000000,5.37700000,4.70000000,5.37800000,263.90000000,5.60200000,5.61600000,5.36800000,4153594.90000000,22881299.09110000,1732940495205,1733026895205,75925895,76019230,93336
FARMUSDT,0.14000000,0.261,54.35717745,53.55000000,53.69000000,0.44000000,53.71000000,0.92600000,53.74000000,3.16400000,53.55000000,55.61000000,52.39000000,50124.42300000,2724622.15567000,1732940491816,1733026891816,24837224,24873973,36750
ALPACAUSDT,0.00850000,4.136,0.21295680,0.20540000,0.21400000,326.80000000,0.21400000,288.80000000,0.21410000,679.20000000,0.20550000,0.22120000,0.20350000,30892265.60000000,6578718.13874000,1732940496688,1733026896688,25558953,25615182,56230
QUICKUSDT,0.00129000,2.522,0.05244220,0.05115000,0.05244000,1043.00000000,0.05245000,989.00000000,0.05247000,4584.00000000,0.05115000,0.05399000,0.05070000,59417153.00000000,3115966.17864000,1732940496519,1733026896519,19322128,19360097,37970
MBOXUSDT,0.00940000,3.622,0.26871361,0.25960000,0.26890000,643.00000000,0.26890000,10356.20000000,0.26900000,3090.80000000,0.25950000,0.28280000,0.25580000,41683212.60000000,11200846.67762000,1732940496640,1733026896640,52897675,52954994,57320
FORUSDT,0.00000000,0.000,0.00000000,0.00306000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
REQUSDT,-0.00250000,-2.006,0.12492659,0.12440000,0.12210000,593.00000000,0.12210000,3234.00000000,0.12230000,6697.00000000,0.12460000,0.12770000,0.12040000,8081771.00000000,1009628.07760000,1732940489665,1733026889665,26686770,26703975,17206
GHSTUSDT,-0.04600000,-3.713,1.21950256,1.23900000,1.19300000,583.80000000,1.19200000,2061.00000000,1.19300000,1013.70000000,1.23900000,1.29300000,1.16700000,5198165.70000000,6339176.36270000,1732940495772,1733026895772,13693210,13747378,54169
WAXPUSDT,-0.00026000,-0.478,0.05512728,0.05434000,0.05408000,2369.00000000,0.05408000,4050.00000000,0.05409000,5776.00000000,0.05434000,0.05647000,0.05347000,85313842.00000000,4703120.02368000,1732940495835,1733026895835,33131424,33173178,41755
TRIBEUSDT,0.00000000,0.000,0.00000000,0.20180000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
GNOUSDT,6.10000000,2.246,276.62410474,271.60000000,277.70000000,0.02100000,277.70000000,0.30600000,277.90000000,0.57300000,271.60000000,279.00000000,271.30000000,2157.11900000,596711.11220000,1732940493452,1733026893452,8232517,8246388,13872
XECUSDT,-0.00000032,-0.646,0.00004962,0.00004961,0.00004924,305473.00,0.00004927,3615464.00,0.00004929,8214000.00,0.00004956,0.00005065,0.00004838,90718658032.00,4501158.94867497,1732940493560,1733026893560,53024576,53077885,53310
ELFUSDT,-0.00300000,-0.520,0.59108081,0.57720000,0.57420000,336.90000000,0.57430000,124.00000000,0.57440000,846.00000000,0.57720000,0.61220000,0.56940000,9772561.10000000,5776373.33127000,1732940495510,1733026895510,31956157,31986971,30815
DYDXUSDT,-0.00170000,-0.102,1.67922000,1.66890000,1.66720000,5.61000000,1.66800000,116.97000000,1.66810000,32.08000000,1.66890000,1.75000000,1.61380000,16360474.23000000,27472835.51800600,1732940496583,1733026896583,116916825,117069121,152297
POLYUSDT,0.00000000,0.000,0.00000000,0.26960000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
IDEXUSDT,0.00097000,2.046,0.04831875,0.04735000,0.04837000,376.90000000,0.04832000,928.20000000,0.04834000,586.00000000,0.04740000,0.04954000,0.04715000,31457427.40000000,1519983.62125400,1732940495572,1733026895572,41791666,41811484,19819
VIDTUSDT,0.00086000,2.070,0.04238377,0.04157000,0.04241000,8913.00000000,0.04242000,3440.00000000,0.04244000,18192.00000000,0.04155000,0.04402000,0.04071000,130868673.00000000,5546707.48575000,1732940496447,1733026896447,33149546,33223380,73835
USDPUSDT,0.00010000,0.010,0.99988169,0.99950000,0.99960000,1012.00000000,0.99960000,88.00000000,0.99970000,935.00000000,0.99950000,1.00260000,0.99510000,865611.00000000,865508.58670000,1732940496801,1733026896801,2190160,2194139,3980
GALAUSDT,0.00397000,10.061,0.04288492,0.03946000,0.04343000,781.00000000,0.04343000,74733.00000000,0.04344000,14755.00000000,0.03946000,0.04600000,0.03935000,2278615132.00000000,97718236.22646000,1732940496133,1733026896133,230388735,230682820,294086
ILVUSDT,-0.25000000,-0.419,60.05523976,59.60000000,59.36000000,3.96000000,59.36000000,4.08700000,59.39000000,6.18600000,59.61000000,61.86000000,58.15000000,150730.88800000,9052179.61845000,1732940495989,1733026895989,32151933,32218786,66854
YGGUSDT,-0.01640000,-2.359,0.69313181,0.69550000,0.67890000,25.70000000,0.67850000,480.30000000,0.67880000,1314.20000000,0.69530000,0.71820000,0.67010000,28265560.70000000,19591759.32751000,1732940496670,1733026896670,63422867,63524490,101624
SYSUSDT,-0.00120000,-0.863,0.14194960,0.13910000,0.13790000,371.00000000,0.13790000,2104.00000000,0.13800000,15012.00000000,0.13910000,0.14670000,0.13640000,31861991.00000000,4522796.72530000,1732940496599,1733026896599,26630758,26674659,43902
